ID,Name,Type,Date / Period,Location,Created By / Associated With,Detailed Historical Background,Additional Notes / Facts,Museum / Location,Discovered or Created by,Image_URL
11,Valley of the Queens,Tomb Complex,c. 18th–20th Dynasties (New Kingdom),"West Bank, Luxor","Royal queens and princes, including Nefertari","The Valley of the Queens contains the burial places of queens and royal children from the New Kingdom, with richly decorated tombs such as the famous Tomb of Nefertari showcasing vivid wall paintings and complex iconography. Tomb decoration emphasized the queen’s role in funerary ritual and her association with protective deities to ensure successful rebirth. Archaeological conservation has prioritized limiting visitor impact due to sensitivity of color pigments and fragile plaster. The site complements the Valley of the Kings by illustrating gendered aspects of royal mortuary practice and elite commemoration.",Nefertari's tomb (QV66) is highly decorated and has restricted access for conservation.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Valley+of+the+Queens
12,Tomb of Tutankhamun (KV62),Royal Tomb / Artifact complex,"c. 1323 BC (New Kingdom, 18th Dynasty)","Valley of the Kings, Luxor",Pharaoh Tutankhamun; tomb artisans and priests,"Discovered in 1922 by Howard Carter, KV62 contained the nearly intact burial assemblage of Tutankhamun including his iconic gold funerary mask, shrines, chariots and a wealth of grave goods. The tomb’s relatively small size compared to other royal tombs likely reflects Tutankhamun’s short reign, yet the preservation of intact materials provided unparalleled insight into New Kingdom funerary art, craft production and ritual practice. The discovery sparked global fascination with ancient Egypt and led to major exhibitions and scholarship, shaping modern public perceptions of pharaonic wealth. Conservation and curatorial decisions regarding display and handling of the tomb's artifacts remain important topics for heritage management.",Howard Carter’s 1922 discovery reshaped Egyptology and public interest.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Tomb+of+Tutankhamun+%28KV62%29
13,Tutankhamun’s Death Mask,Artifact (Funerary Mask),c. 1323 BC (18th Dynasty),Originally in KV62; principal exhibit in Grand Egyptian Museum (GEM) and sometimes traveling exhibits,Made by royal craftsmen for Tutankhamun’s burial,"Tutankhamun’s solid gold funerary mask is among the most iconic surviving artifacts of ancient Egypt, inlaid with semi-precious stones, glass and colored paste to render idealized royal features. The mask functioned as an amuletic image of the king, intended to protect his body and ensure identity in the afterlife, consistent with Egyptian beliefs in preservation and resurrection. Its discovery within the intact burial assemblage of KV62 provided an unprecedented example of royal funerary material and craft techniques. The mask's conservation, display and occasional travel exhibitions have made it a focal point of international interest and debates about artifact mobility and cultural patrimony.",Weighs about 10.23 kg of gold; major highlight of Tutankhamun collection.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Tutankhamun%E2%80%99s+Death+Mask
14,Temple of Hatshepsut (Djeser-Djeseru),Mortuary Temple,c. 1479–1458 BC (18th Dynasty),"Deir el-Bahari, Luxor West Bank",Queen Hatshepsut; architect Senenmut,"Hatshepsut’s mortuary temple, built into the cliffs at Deir el-Bahari, is renowned for its terraced design, colonnades and reliefs narrating the queen’s divine birth and expedition to Punt. As one of Egypt’s most prominent female rulers, Hatshepsut employed monumental architecture to project legitimacy and commemorate economic and diplomatic achievements. The temple’s terraces and relief program also reflect a sophisticated integration of architecture and landscape to emphasize royal ideology. Restoration in modern times has recovered details of its reliefs and structural sequence, making it a key monument in studies of New Kingdom royal representation.",Celebrated Punt reliefs depict exotic goods and animals; important funerary complex.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Temple+of+Hatshepsut+%28Djeser-Djeseru%29
15,Abu Simbel Temples,Temple Complex,"c. 1264–1244 BC (19th Dynasty, New Kingdom)","Near Aswan (Nile, southern Egypt)",Pharaoh Ramses II,"The rock-cut twin temples of Abu Simbel—one dedicated to Ramses II and the other to his queen Nefertari—were designed as monumental expressions of royal power and as a southern frontier statement toward Nubia. Their colossal seated figures and interior sanctuaries reflect Ramses’ propaganda and religious program; the Great Temple’s inner sanctuary aligns with the rising sun on two days a year, illuminating statues of the gods and the king. In the 1960s the temples were famously relocated, block by block, to higher ground under an international UNESCO-led campaign to save them from Lake Nasser inundation triggered by the Aswan High Dam. The relocation represented a landmark in heritage engineering and global cooperation for monument preservation.",Relocation completed 1964–1968; solar alignment events on Feb 22 and Oct 22.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Abu+Simbel+Temples
16,Temple of Philae (Isis Temple Complex),Temple Complex,Late Period to Roman (notably Ptolemaic structures),Originally Philae Island; relocated to Agilkia Island near Aswan,Dedicated to goddess Isis; patronage across Ptolemaic and Roman periods,"Philae was a major cult center for the goddess Isis and retained religious activity longer than many Egyptian sites, becoming one of the last places where hieroglyphic writing was used. The temple complex displays a mixture of pharaonic and Greco-Roman architectural motifs and was an important pilgrimage and ritual destination into late antiquity. Relocated to Agilkia Island during the UNESCO salvage campaign of the 1960s to avoid inundation by the Aswan High Dam, Philae’s preservation reflects international heritage priorities. The complex remains celebrated for its island setting and well-preserved reliefs honoring Isis and related deities.",Last place where hieroglyphs were used; relocated stone-by-stone by UNESCO.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Temple+of+Philae+%28Isis+Temple+Complex%29
17,Temple of Edfu (Temple of Horus),Temple,Built c. 237 BC (Ptolemaic Period),"Edfu, Upper Egypt",Ptolemaic rulers; dedicated to Horus,"The Temple of Edfu is one of the best-preserved Ptolemaic temples in Egypt, dedicated to the falcon god Horus and notable for its large pylon, hypostyle halls and detailed inscriptions. Its inscriptions provide extensive ritual texts and local mythology, making Edfu an invaluable source for understanding late pharaonic religion and liturgy. Archaeological conservation has maintained the temple’s structure and carved reliefs, allowing scholars to reconstruct aspects of temple routines and festival calendars. Edfu’s preservation affords visitors and researchers a rare chance to study a relatively intact Greco-Egyptian temple complex.",Rich inscriptions offer mythic narratives and ritual instructions.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Temple+of+Edfu+%28Temple+of+Horus%29
18,Temple of Dendera (Hathor),Temple Complex,Major structures from Ptolemaic–Roman periods (c. 1st century BC – 1st century AD),"Dendera, near Qena",Ptolemaic and Roman patrons; dedicated to Hathor,"Dendera’s Temple of Hathor is famous for its well-preserved reliefs, painted ceilings and the so-called Dendera Zodiac—a star-map motif that attracted modern scholarly interest. The temple served as an important cult center for Hathor, with chapels, ritual lakes and inscriptions detailing priestly functions and festival rites. Its artistic program reflects both Egyptian religious continuity and late antique interactions with Greco-Roman cosmology. Conservation work continues to reveal painted surfaces and carved programs that help reconstruct late period temple life.",Astronomical ceiling and zodiac motifs; parts of the Dendera Zodiac are displayed abroad.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Temple+of+Dendera+%28Hathor%29
19,Kom Ombo Temple,Temple,Ptolemaic Period (c. 2nd–1st centuries BC),"Kom Ombo, Aswan Governorate",Ptolemaic rulers; dual dedication to Sobek and Horus,"Kom Ombo is unique as a double temple with mirror-image sanctuaries dedicated to the crocodile god Sobek and the falcon god Horus, reflecting local cultic specificity and Ptolemaic-era temple planning. Its reliefs include medical scenes and surgical instruments, and mummified crocodiles found nearby attest to the prominence of Sobek worship. The temple’s riverside setting and preserved inscriptions make it a focal point for studies of provincial religious practice and animal cults. Preservation and interpretation efforts at Kom Ombo help illuminate the intersections between ritual, healing and animal veneration in Ptolemaic Egypt.",Mummified crocodiles and medical reliefs among notable finds.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kom+Ombo+Temple
20,Colossi of Memnon,Statues / Monument,c. 1350 BC (18th Dynasty),"West Bank, Luxor",Pharaoh Amenhotep III,"The Colossi of Memnon are two massive seated statues that once flanked the entrance to Amenhotep III’s mortuary temple and are carved from quartzite sandstone transported from quarries near Aswan. Each statue stands about 18 meters tall and represents the pharaoh enthroned; in antiquity one colossus reportedly produced a 'singing' sound at dawn, which fascinated Greek and Roman visitors. Though the surrounding mortuary temple largely disappeared, the colossi remained a landmark and point of antiquarian interest. They continue to be studied for their engineering, stylistic features and role within Amenhotep III’s monumental program.",One of the colossi was said to 'sing' in antiquity—likely due to thermal effects.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Colossi+of+Memnon
21,Saqqara Necropolis and Serapeum,Necropolis / Burial Complex,Predynastic through Late Period (multiple phases),"Saqqara, near Memphis","Pharaohs, elite officials, and the Apis cult","Saqqara is a vast funerary landscape including mastabas, tombs and the Step Pyramid complex of Djoser, representing millennia of Egyptian burial practices. The Serapeum at Saqqara served as the burial place of the sacred Apis bulls, with subterranean galleries housing enormous stone sarcophagi and inscriptions documenting cult practices. Excavations have revealed richly carved mastaba reliefs, administrative inscriptions and burial goods that illuminate elite life and the evolution of funerary rites. Saqqara remains central to archaeological research into Old Kingdom administration and mortuary ideology.",Includes Djoser's Step Pyramid; finds span many dynasties.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Saqqara+Necropolis+and+Serapeum
22,Memphis (Mit Rahina) and Necropolis,Ancient City / Necropolis,Early Dynastic through later periods,"Near Mit Rahina, south of Giza",Ancient Egyptian rulers; patron deities like Ptah,"Memphis served as an early capital and administrative center of Egypt, with a necropolis and temple fields that reflect its centrality in political and religious organization. Excavations have recovered colossal statues, temple remains and an enduring sacred landscape associated with Ptah, the city's patron god. Memphis’s long occupational history shows shifting political centers while retaining ceremonial importance across eras. Modern archaeology at Mit Rahina seeks to reconstruct Memphis’s urban layout and to conserve monumental remains for public interpretation.",Site includes remains of colossal statues and temple foundations.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Memphis+%28Mit+Rahina%29+and+Necropolis
23,Abydos (Temple of Seti I and Osireion),Temple Complex / Sacred Site,New Kingdom and later,"Abydos, Sohag Governorate",Pharaohs including Seti I and Ramses II; cult of Osiris,"Abydos was a major cult center for Osiris, associated with burial and resurrection mythology, and its monuments include the temple of Seti I and the enigmatic Osireion with its subterranean water features. The site functioned as a place of royal commemoration where king lists and inscriptions linked pharaohs to divine lineage and ancestral legitimacy. Pilgrims visited Abydos seeking association with Osirian promises of rebirth, and the archaeological record preserves a long sequence of religious activity. Abydos remains a crucial site for studies of ancient Egyptian religion, kingship and mortuary practice.",Contains famous king lists and the Osireion; major cult center.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Abydos+%28Temple+of+Seti+I+and+Osireion%29
24,Rosetta Stone,Artifact / Stele,196 BC (Ptolemaic Period),Found at Rashid (Rosetta); housed in the British Museum (London),Issued in the name of King Ptolemy V Epiphanes,"The Rosetta Stone is a trilingual stele bearing the same decree in ancient Egyptian hieroglyphs, Demotic script and ancient Greek; its discovery in 1799 enabled scholars to decipher Egyptian hieroglyphics. Jean-François Champollion's breakthroughs in the early 19th century using the Greek text as a reference unlocked the phonetic values of hieroglyphic signs and revolutionized Egyptology. The stone’s movement to Europe during the Napoleonic campaigns and its display in the British Museum have also made it central to debates over cultural patrimony and repatriation. As a key to linguistic history, the Rosetta Stone symbolizes the bridging of ancient and modern understandings of Egypt’s written record.",Key to deciphering hieroglyphs; currently in the British Museum.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Rosetta+Stone
25,Bust of Nefertiti,Artifact / Sculpture,"c. 1345 BC (18th Dynasty, Amarna Period)",Discovered at Amarna; principal exhibit in Neues Museum (Berlin),Attributed to the workshop of the sculptor Thutmose,"The painted limestone bust of Queen Nefertiti is celebrated for its refined artistry, idealized features and preserved pigments, offering a remarkable example of Amarna-period portraiture. Discovered in 1912 at Amarna, the bust quickly became iconic of ancient Egyptian aesthetics and has been central to discussions about the distribution of finds during early 20th-century excavations. Its display in Berlin has been contested by calls for repatriation to Egypt, reflecting broader conversations about colonial-era archaeology and museum ethics. As a masterpiece of New Kingdom art, the bust continues to inform scholarship on royal portraiture and Amarna cultural reform.",Iconic artifact with contested provenance discussions.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Bust+of+Nefertiti
26,Pompey's Pillar,Monument / Roman Column,c. 292–297 AD (Late Roman Period),Alexandria,Commemorative column; associated with Roman emperors,"Pompey's Pillar is a monumental Roman column in Alexandria standing over 25 meters high, erected in honor of the imperial dynasty and reflecting Alexandria’s prominence in late antiquity. The column survives as one of the largest of its kind and once formed part of a monumental precinct associated with the Serapeum and other civic structures. Its survival provides an important visual marker of Roman-era urbanism and imperial commemoration in Egypt’s Mediterranean city. Archaeologists study the pillar and surrounding ruins to reconstruct Alexandria’s layered religious and civic landscape.",One of the largest monolithic columns in the Roman East.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Pompey%27s+Pillar
27,Kom el Shoqafa Catacombs,Funerary Catacombs,2nd century AD (Roman period),Alexandria,Greco-Roman Egyptian elites,"The Catacombs of Kom el Shoqafa are a vast funerary complex blending Egyptian, Greek and Roman artistic motifs; their multi-level chambers and statuary illustrate syncretic funerary practices in Roman Alexandria. Decorative programs combine pharaonic motifs with Greco-Roman architectural elements, reflecting the multicultural population of the city. Rediscovered in the early 20th century, the catacombs have provided important data about burial customs, social status and iconography among Alexandria’s elites. Conservation emphasizes humidity control and protection of fragile reliefs within the underground chambers.",Important example of Greco-Roman-Egyptian funerary syncretism.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kom+el+Shoqafa+Catacombs
28,Bibliotheca Alexandrina (Modern Library),Modern Cultural Institution / Library,Opened 2002 (modern),Alexandria,Modern Egyptian cultural initiative (designed by Snøhetta),"The Bibliotheca Alexandrina is a modern institution inspired by the ancient Library of Alexandria and serves as a regional hub for scholarship, manuscripts, and cultural programs. Architecturally striking, the building’s circular, sloping disk and engraved exterior connect the contemporary design to themes of knowledge and script. The library hosts exhibitions, research centers and collections that bridge local heritage and international scholarship, revitalizing Alexandria’s intellectual role. It represents modern Egypt’s efforts to reclaim and reinterpret its classical intellectual heritage for a global audience.",Houses millions of books and multiple research centers.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Bibliotheca+Alexandrina+%28Modern+Library%29
29,Royal Jewelry Museum (Alexandria),Museum / Collection,Collections from modern royal period; museum in a 1920s palace,Alexandria (Zizinia district),Royal family collections (Muhammad Ali dynasty) and modern curators,"The Royal Jewelry Museum in Alexandria displays jewels, crowns and ceremonial objects from the Muhammad Ali dynasty and modern royal households, shedding light on late Ottoman and modern Egyptian material culture. Housed in an early 20th-century palace, the museum provides context for monarchical ceremonial dress, jewelry craftsmanship and elite display. Its collections illustrate the interplay of European and local influences in jewelry design and the social history of Egypt’s monarchic era. The museum contributes to Alexandria’s cultural attractions and to understanding modern Egyptian elite identity.",Exhibits ornate jewelry and regalia associated with Egypt's royal family.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Royal+Jewelry+Museum+%28Alexandria%29
30,Qaitbay Citadel,Fortress / Monument,15th century AD (Mamluk period),Alexandria (eastern harbor),Built by Sultan al-Ashraf Sayf al-Din Qaitbay,"Qaitbay Citadel was erected in the 15th century on the eastern harbor of Alexandria, likely using some stones from the ruins of the ancient Lighthouse of Alexandria, and served as a defensive fortress against seaborne threats. The citadel exemplifies Mamluk military architecture and has been modified over Ottoman and modern periods for coastal defense and symbolic representation. Its strategic location offers commanding views of the Mediterranean and connects visitors to layers of Alexandria’s maritime history. The citadel now functions as a museum and tourist site, linking modern visitors to Alexandria’s medieval and classical past.",Built near the site of the ancient Pharos; well-preserved Mamluk architecture.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Qaitbay+Citadel
31,Kom el-Dikka Roman Amphitheatre and Baths,Ancient Theatre / Baths Complex,2nd–3rd century AD (Roman period),Alexandria (Kom el-Dikka archaeological park),Roman municipal patrons,"Kom el-Dikka preserves a Roman amphitheatre, bath complexes and urban villas that illustrate public entertainment and social life in Roman Alexandria. Excavations have revealed tiered seating, mosaic floors and ancillary structures indicative of an active urban quarter engaged in performance and leisure. The site contributes to understanding Roman provincial urbanism, social hierarchy and civic architecture in Egypt’s Mediterranean capital. Preservation of mosaics and public spaces enables visitors to engage with Alexandria’s layered cultural past.",Mosaics and audience seating reveal Roman-era leisure infrastructure.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kom+el-Dikka+Roman+Amphitheatre+and+Baths
32,Heracleion (Thonis) - submerged ancient port,Ancient Port City (submerged archaeology),Late Period to Hellenistic (c. 7th century BC – 8th century AD),"Abu Qir Bay, near Alexandria (submerged)",Ancient Egyptian and later Greek-Egyptian communities,"Heracleion (Thonis) was a major Nile Delta port and religious center whose remains were submerged due to natural subsidence and sea-level changes; modern underwater archaeology has revealed colossal statues, temple remains and rich trade goods. Rediscovery in the early 21st century transformed knowledge of Egypt’s late Pharaonic and Hellenistic maritime networks and urban landscape. Artifacts recovered include monumental statues, coins and inscriptions that document religious and commercial life in a major Mediterranean hub. Heracleion’s finds are now displayed in museums and have reshaped narratives about Alexandria’s early harbors and trade connections.",Underwater archaeology has recovered major urban artifacts and temple remains.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Heracleion+%28Thonis%29+-+submerged+ancient+port
33,Taposiris Magna (Temple and archaeological site),Temple and Archaeological Site,Ptolemaic–Roman periods,Near Alexandria (Abu Qir area),Ptolemaic and Roman patrons; associated with Osiris cults,"Taposiris Magna includes temple ruins, necropoleis and urban remains associated with Osiris worship and coastal settlement activity in the western Nile Delta. Excavations have produced coins, carved stones and burials indicating active ritual and economic life during the Hellenistic and Roman eras. Some modern claims link Taposiris Magna to Alexander the Great’s death traditions, though evidence remains debated and contested. The site continues to yield finds that illuminate late ancient cult practice and regional maritime economies.",Excavations have revealed significant artifacts and burials.,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Taposiris+Magna+%28Temple+and+archaeological+site%29
34,Montaza Palace and Gardens,Palace / Gardens,20th century,Alexandria,Khedive Abbas II,Montaza Palace was a royal summer retreat combining European and Islamic styles and now functions as public gardens and museum. (See site for detailed history.),,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Montaza+Palace+and+Gardens
35,Lighthouse of Alexandria (Pharos) - site/legacy,Ancient Monument (lost),c. 280–247 BC (Ptolemaic),Alexandria (former Pharos Island),Ptolemaic rulers,"Once among the tallest structures of the ancient world, the Pharos served as a landmark and symbol of Hellenistic Alexandria; its remains are submerged near the modern harbor. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Lighthouse+of+Alexandria+%28Pharos%29+-+site%2Flegacy
36,Sultan Hassan Mosque-Madrasa,Mosque / Madrasa,1356–1363 AD (Mamluk),Cairo,Sultan an-Nasir Hasan,"The complex is a monumental example of Mamluk architecture, combining religious, educational and funerary functions with high-quality stonework and decoration. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Sultan+Hassan+Mosque-Madrasa
37,Ibn Tulun Mosque,Mosque,876–879 AD (Tulunid period),Cairo,Ahmad ibn Tulun,"One of Cairo's oldest mosques, noted for its hypostyle plan, large courtyard and spiral minaret modeled on Samarra prototypes. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Ibn+Tulun+Mosque
38,Al-Azhar Mosque and University,Mosque / University,Founded 970–972 AD (Fatimid),Cairo,Fatimid Caliphate,Al-Azhar developed from a mosque into one of the oldest continuously operating centers of Islamic scholarship in the Sunni world. (See site for detailed history.),,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Al-Azhar+Mosque+and+University
39,Khan el-Khalili Bazaar,Historic Market,Medieval origins (Mamluk-Ottoman growth),Historic Cairo,Evolving merchants and patrons,"Khan el-Khalili grew from caravanserais into Cairo's famous bazaar, preserving artisan workshops, coffeehouses and traditional commerce. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Khan+el-Khalili+Bazaar
40,Ben Ezra Synagogue (Cairo Geniza),Religious site / Manuscript find,Medieval origins; modern building later,Coptic Cairo (Old Cairo),Medieval Jewish community,Ben Ezra is associated with the Cairo Geniza archives—a vital manuscript repository illuminating medieval Mediterranean social and religious life. (See site for detailed history.),,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Ben+Ezra+Synagogue+%28Cairo+Geniza%29
41,Hanging Church (Saint Virgin Mary's),Coptic Church,Early medieval traditions; extant medieval structure,Old Cairo,Coptic community,"One of the oldest and most important Coptic churches in Egypt, built above the gatehouse of the Roman fortress and rich in icons and liturgical history. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Hanging+Church+%28Saint+Virgin+Mary%27s%29
42,Saint Catherine's Monastery,Monastery / Religious complex,6th century AD (Byzantine),Mount Sinai (Sinai Peninsula),Byzantine Emperor Justinian I (traditionally),"A continuous monastic community with a major library of manuscripts and icons, set near the biblical Mount Sinai (Jebel Musa). (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Saint+Catherine%27s+Monastery
